Tipo,Anio,Item,Monto
pasivo corriente,2014,cargas fiscales,162404.12
pasivo corriente,2014,otros pasivos,28867.3
pasivo no corriente,2014,otros pasivos,0.06
patrimonio neto,2014,segun estado respectivo,19461243.72
activo corriente,2015,caja y bancos,580318.77
activo corriente,2015,inversiones temporarias,2615059.07
activo corriente,2015,creditos por ventas,883889.61
activo corriente,2015,otros creditos,602081.27
activo corriente,2015,bienes de cambio,18931967.21
activo no corriente,2015,bienes de uso,3319840.45
pasivo corriente,2015,cuentas a pagar,1838368.8
pasivo corriente,2015,prestamos bancarios,475175.73
pasivo corriente,2015,remuneraciones y cargas sociales,550088.04
pasivo corriente,2015,cargas fiscales,348450.82
pasivo corriente,2015,otros pasivos,0
pasivo no corriente,2015,otros pasivos,0.06
patrimonio neto,2015,segun estado respectivo,23721072.93
activo corriente,2016,caja y bancos,65497.42
activo corriente,2016,inversiones temporarias,7534909.54
activo corriente,2016,creditos por ventas,2306244.21
activo corriente,2016,otros creditos,1421724.41
activo corriente,2016,bienes de cambio,21215762.31
activo no corriente,2016,bienes de uso,3776543.3
pasivo corriente,2016,cuentas a pagar,5550062.83
pasivo corriente,2016,prestamos bancarios,2381966.34
pasivo corriente,2016,remuneraciones y cargas sociales,208928.09
pasivo corriente,2016,cargas fiscales,1274352.09
pasivo corriente,2016,otros pasivos,0
pasivo no corriente,2016,otros pasivos,0.06
patrimonio neto,2016,segun estado respectivo,26905371.18
activo corriente,2017,caja y bancos,3018551.46
activo corriente,2017,inversiones temporarias,10321439.62
activo corriente,2017,creditos por ventas,2710244.11
activo corriente,2017,otros creditos,1650237.97
activo corriente,2017,bienes de cambio,23546971.71
activo no corriente,2017,bienes de uso,4264549.93
pasivo corriente,2017,cuentas a pagar,8274746.37
pasivo corriente,2017,prestamos bancarios,852598.17
pasivo corriente,2017,remuneraciones y cargas sociales,787478.25
pasivo corriente,2017,cargas fiscales,2467405.29
pasivo corriente,2017,otros pasivos,0
pasivo no corriente,2017,otros pasivos,0.06
patrimonio neto,2017,segun estado respectivo,33129816.72
activo corriente,2020,caja y bancos,10181997.45
activo corriente,2020,inversiones temporarias,37231373.99
activo corriente,2020,creditos por ventas,4928120.12
activo corriente,2020,otros creditos,6787993.42
activo corriente,2020,bienes de cambio,16676027.14
activo corriente,2020,activos biologicos,129845966.6
activo no corriente,2020,bienes de uso,49710309.2
activo no corriente,2020,activos biologicos,2620559.68
pasivo corriente,2020,cuentas a pagar,30515385.28
pasivo corriente,2020,prestamos bancarios,5560467.75
pasivo corriente,2020,remuneraciones y cargas sociales,2124575.62
pasivo corriente,2020,cargas fiscales,5561905.13
pasivo corriente,2020,otros pasivos,8566148.05
pasivo no corriente,2020,cargas fiscales,3189329.22
patrimonio neto,2020,segun estado respectivo,202464536.6
activo corriente,2021,caja y bancos,11349967.83
activo corriente,2021,inversiones temporarias,84658637.53
activo corriente,2021,creditos por ventas,14107193.9
activo corriente,2021,otros creditos,12420349.57
activo corriente,2021,bienes de cambio,55184566.06
activo corriente,2021,activos biologicos,191168910.4
activo no corriente,2021,bienes de uso,76998090.47
activo no corriente,2021,activos biologicos,2526182.95
pasivo corriente,2021,cuentas a pagar,81800956.84
pasivo corriente,2021,prestamos bancarios,2542989.9
pasivo corriente,2021,remuneraciones y cargas sociales,1850283.38
pasivo corriente,2021,cargas fiscales,11741388.19
pasivo corriente,2021,otros pasivos,0
pasivo no corriente,2021,cargas fiscales,4294763.78
patrimonio neto,2021,segun estado respectivo,346183516.6
activo corriente,2022,caja y bancos,41566872.05
activo corriente,2022,inversiones temporarias,123877617.6
activo corriente,2022,creditos por ventas,10836955.58
activo corriente,2022,otros creditos,11089140.27
activo corriente,2022,bienes de cambio,136108518.4
activo corriente,2022,activos biologicos,359834869.8
activo no corriente,2022,bienes de uso,45944643.43
activo no corriente,2022,activos biologicos,5735989.6
pasivo corriente,2022,cuentas a pagar,91839492.8
pasivo corriente,2022,prestamos bancarios,14754469.8
pasivo corriente,2022,remuneraciones y cargas sociales,1732691.07
pasivo corriente,2022,cargas fiscales,12234766.61
pasivo corriente,2022,otros pasivos,14063022.54
pasivo no corriente,2022,cargas fiscales,1830130.13
patrimonio neto,2022,segun estado respectivo,598540033.8
activo corriente,2023,caja y bancos,30488026.1
activo corriente,2023,inversiones temporarias,239256101.9
activo corriente,2023,creditos por ventas,65737433.99
activo corriente,2023,otros creditos,48529402.87
activo corriente,2023,bienes de cambio,427783453.3
activo corriente,2023,activos biologicos,1316955987
activo no corriente,2023,bienes de uso,691943422.4
activo no corriente,2023,activos biologicos,23675392.35
pasivo corriente,2023,cuentas a pagar,237446804.8
pasivo corriente,2023,prestamos bancarios,19656989.77
pasivo corriente,2023,remuneraciones y cargas sociales,12022948.38
pasivo corriente,2023,cargas fiscales,28908901.69
pasivo corriente,2023,otros pasivos,80727969.38
pasivo no corriente,2023,cargas fiscales,282384182.1
patrimonio neto,2023,segun estado respectivo,2437321423
activo corriente,2024,caja y bancos,407795393.2
activo corriente,2024,inversiones temporarias,1235195959
activo corriente,2024,creditos por ventas,218333565.8
activo corriente,2024,otros creditos,43665501.17
activo corriente,2024,bienes de cambio,510631290.2
activo corriente,2024,activos biologicos,2874011070
activo no corriente,2024,bienes de uso,1617613872
activo no corriente,2024,activos biologicos,38934371.91
pasivo corriente,2024,cuentas a pagar,742429866.2
pasivo corriente,2024,prestamos bancarios,165736074.9
pasivo corriente,2024,remuneraciones y cargas sociales,37365528.18
pasivo corriente,2024,cargas fiscales,247192574.9
pasivo corriente,2024,otros pasivos,182293915.6
pasivo no corriente,2024,cargas fiscales,48351367.96
patrimonio neto,2024,segun estado respectivo,5522811696
