,cuenta,c_nombre,nivel,nsumasal
932,435020000000,Librería e Imprenta                ,4,0.0
933,435030000000,Suscripciones                      ,4,0.0
934,435040000000,Asesoramiento contable y administra,4,0.0
935,435050000000,Seguros-Administ.                  ,4,0.0
936,435060000000,Peajes                             ,4,0.0
937,435070000000,Otros Gastos-Administ.             ,4,0.0
938,435080000000,Gastos de Oficina                  ,4,0.0
939,435090000000,Honorarios de Administración       ,4,0.0
940,435100000000,Personal de Administración         ,4,0.0
941,435110000000,Teléfonos de Administración        ,4,0.0
942,435110100000,Celular Federico Stegmann          ,5,0.0
943,435120000000,Gastos Vehículos-Administración    ,4,0.0
944,435120100000,Service-Vehíc.administ.            ,5,0.0
945,435120200000,Reparaciones-Vehíc.administ.       ,5,0.0
946,435120300000,Repuestos-Vehíc.administ.          ,5,0.0
947,435120400000,Combustibles y Lubr.Vehíc.-adminis ,5,0.0
948,435120500000,Seguros Vehíc.-administ.           ,5,0.0
949,435120600000,Peajes y estacionam.-Vehic.de adm. ,5,0.0
950,435130000000,Viáticos de administración         ,4,0.0
951,435140000000,Cargas Sociales-Adm.               ,4,0.0
952,436000000000,GASTOS POR SERVICIOS PUBLICOS      ,3,0.0
953,437000000000,IMPUESTOS Y TASAS                  ,3,0.0
954,437010000000,Impuestos                          ,4,0.0
955,437010100000,Imp.de Sellos                      ,5,0.0
956,437010200000,Imp.a las Ganancias                ,5,0.0
957,437010300000,Imp.a las Gan.Min.Pres.            ,5,0.0
958,437010400000,Imp.a los Ing.Brutos               ,5,0.0
959,437010500000,Imp.Inmobiliario                   ,5,0.0
960,437010600000,Imp.a los Automotores(Patente)     ,5,0.0
961,437010700000,Impuesto Transacc.Financ.          ,5,0.0
962,437010800000,Impuesto Transferencia Comb.       ,5,0.0
963,437020000000,Tasas-Tributarias                  ,4,0.0
964,437020100000,Tasa Vial Bolívar                  ,5,0.0
965,437020200000,Tasa de Alumb.B.y Limp.            ,5,0.0
966,437020300000,Otras Tasas                        ,5,0.0
967,437030000000,Multas-Tributarias                 ,4,0.0
968,437040000000,Intereses-Tributarios              ,4,0.0
969,438000000000,AMORTIZACIONES                     ,3,0.0
970,438010000000,Desgaste                           ,4,0.0
971,438010100000,Construcciones                     ,5,0.0
972,438010200000,Rodados                            ,5,0.0
973,438010300000,Máquinas y Tractores               ,5,0.0
974,438010400000,Muebles y Utiles                   ,5,0.0
975,438010500000,Instalaciones                      ,5,0.0
976,438010600000,Herramientas                       ,5,0.0
977,438010700000,Plantaciones y Forestac.           ,5,0.0
978,438010800000,"Tranqueras,Alamb.y corrales        ",5,0.0
979,438010900000,Silos                              ,5,0.0
980,438011000000,"Comederos,bebederos,y aguadas      ",5,0.0
981,438011100000,Implementos Apícolas               ,5,0.0
982,438011200000,Maquinaria Tambo                   ,5,0.0
983,438011300000,Construcción y mejora tambo        ,5,0.0
984,438020000000,Agotamiento                        ,4,0.0
985,438020100000,Reproductores                      ,5,0.0
986,438020200000,Pasturas                           ,5,0.0
987,439000000000,Gastos No Computables              ,3,0.0
988,440000000000,Resultado Extraordinario           ,2,0.0
989,441000000000,Resultados por Siniestros Acaecidos,3,0.0
990,442000000000,Deudores Incobrables               ,3,0.0
991,443000000000,Donaciones Recibidas               ,3,0.0
992,444000000000,Resultado por Vta Bien de Uso      ,3,0.0
993,500000000000,CUADRO DE RESULTADOS PRINGLES      ,1,0.0
994,510000000000,Ingresos PRINGLES                  ,2,0.0
995,511000000000,Agricultura                        ,3,0.0
996,511010000000,Trigo                              ,4,0.0
997,511010100000,Venta Cereal-Trigo Pringles        ,5,0.0
998,511020000000,Maíz                               ,4,0.0
